"TOA5","DroughtNet","CR1000","73052","CR1000.Std.28.02","CPU:DryNet20151110.CR1","60679","soilM"
"TIMESTAMP","RECORD","BattV_Avg","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","VW_Avg(13)","VW_Avg(14)","VW_Avg(15)","VW_Avg(16)"
"TS","RN","Volts","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-05-01 04:00:00",1016,12.89,0.043,0.049,0.036,0.025,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 04:15:00",1017,12.89,0.043,0.049,0.036,0.026,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 04:30:00",1018,12.88,0.043,0.05,0.036,0.026,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 04:45:00",1019,12.88,0.043,0.05,0.036,0.026,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 05:00:00",1020,12.87,0.043,0.049,0.036,0.026,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 05:15:00",1021,12.87,0.043,0.05,0.036,0.026,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 05:30:00",1022,12.86,0.043,0.049,0.036,0.026,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 05:45:00",1023,12.86,0.043,0.049,0.036,0.026,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 06:00:00",1024,12.86,0.043,0.05,0.036,0.025,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 06:15:00",1025,12.85,0.043,0.05,0.036,0.025,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 06:30:00",1026,12.85,0.043,0.05,0.036,0.025,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 06:45:00",1027,12.87,0.043,0.05,0.036,0.025,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 07:00:00",1028,13.19,0.043,0.05,0.036,0.025,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 07:15:00",1029,13.84,0.043,0.05,0.036,0.025,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.032,0.037,0.036,0.06,0.047
"2018-05-01 07:30:00",1030,13.87,0.043,0.05,0.036,0.025,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 07:45:00",1031,13.9,0.043,0.05,0.036,0.025,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 08:00:00",1032,13.9,0.043,0.05,0.036,0.025,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 08:15:00",1033,13.89,0.043,0.05,0.036,0.026,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.048
"2018-05-01 08:30:00",1034,13.97,0.043,0.05,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.047
"2018-05-01 08:45:00",1035,13.99,0.043,0.05,0.036,0.026,0.038,0.026,0.052,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 09:00:00",1036,13.9,0.043,0.05,0.036,0.026,0.038,0.026,0.052,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 09:15:00",1037,13.88,0.043,0.05,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 09:30:00",1038,13.85,0.043,0.05,0.036,0.026,0.038,0.026,0.052,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 09:45:00",1039,13.84,0.044,0.05,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 10:00:00",1040,13.87,0.044,0.05,0.036,0.026,0.038,0.026,0.053,0.041,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 10:15:00",1041,13.81,0.044,0.05,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 10:30:00",1042,13.98,0.044,0.051,0.036,0.026,0.038,0.026,0.053,0.041,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 10:45:00",1043,13.82,0.044,0.05,0.036,0.026,0.038,0.026,0.053,0.041,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 11:00:00",1044,13.95,0.043,0.051,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.048
"2018-05-01 11:15:00",1045,13.84,0.044,0.051,0.036,0.026,0.038,0.026,0.053,0.041,0.034,0.022,0.034,0.033,0.037,0.036,0.061,0.048
"2018-05-01 11:30:00",1046,13.76,0.044,0.051,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.048
"2018-05-01 11:45:00",1047,13.77,0.043,0.051,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.048
"2018-05-01 12:00:00",1048,13.87,0.043,0.051,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.048
"2018-05-01 12:15:00",1049,13.81,0.043,0.05,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.048
